197001	17.8
197002	21.3
197003	28.4
197004	42.5
197005	37.1
197006	22.4
197007	32.4
197008	31.9
197009	34
197010	36
197011	22.5
197012	21.5
197101	26.5
197102	26.7
197103	26.5
197104	33.4
197105	26.7
197106	22.7
197107	24.5
197108	31.7
197109	46.7
197110	38.8
197111	20.6
197112	14
197201	13.6
197202	12.3
197203	17.8
197204	42.7
197205	36.4
197206	35.8
197207	25.4
197208	48.6
197209	36.7
197210	22.5
197211	14.9
197212	16.5
197301	19.9
197302	19.5
197303	33.4
197304	50.9
197305	50.9
197306	37.7
197307	44.6
197308	47.1
197309	59.9
197310	33.4
197311	20.1
197312	18
197401	26.8
197402	38.8
197403	43.5
197404	68.6
197405	38.5
197406	27.9
197407	62.5
197408	69.2
197409	63.8
197410	44.1
197411	31.5
197412	28.3
197501	29.6
197502	28.7
197503	32.3
197504	35.2
197505	39.6
197506	41.4
197507	54.4
197508	51.3
197509	51.6
197510	54.4
197511	41.6
197512	28.3
197601	33.1
197602	44.5
197603	57.5
197604	113.1
197605	80.9
197606	69.1
197607	56.9
197608	60.8
197609	65.3
197610	61.9
197611	31.7
197612	26
197701	33.2
197702	42.4
197703	49.6
197704	65.5
197705	51.5
197706	53.5
197707	48.6
197708	70.5
197709	87.2
197710	52.5
197711	24.9
197712	19.3
197801	26.5
197802	31
197803	44.2
197804	75
197805	57.5
197806	71.7
197807	114.5
197808	101.8
197809	91.9
197810	52.9
197811	28.2
197812	20.6
197901	22.3
197902	21.3
197903	32.7
197904	53.9
197905	56.5
197906	51.9
197907	97.4
197908	70.5
197909	73.1
197910	66.3
197911	55.6
197912	74
198001	121.3
198002	149
198003	168.8
198004	151.6
198005	64.8
198006	66.5
198007	67.5
198008	90.8
198009	119
198010	72.7
198011	51.1
198012	37.6
198101	46.6
198102	59.9
198103	69.6
198104	92.4
198105	65.4
198106	79.6
198107	87.2
198108	104.3
198109	94.6
198110	57
198111	39.1
198112	33.9
198201	41.5
198202	40.3
198203	44.7
198204	72.4
198205	66
198206	66.8
198207	57.4
198208	117.5
198209	142.8
198210	80.1
198211	41.7
198212	28.2
198301	36.9
198302	45.3
198303	70
198304	76.6
198305	101.3
198306	78.6
198307	88
198308	134.6
198309	107.6
198310	87.1
198311	53.7
198312	45.9
198401	60
198402	87.5
198403	115.9
198404	115.4
198405	94.6
198406	65.1
198407	86.4
198408	81.8
198409	100
198410	68.7
198411	36.9
198412	27.6
198501	36.9
198502	41.6
198503	48.3
198504	118
198505	78.8
198506	85.4
198507	127.4
198508	129.2
198509	86
198510	82.6
198511	43.1
198512	44.8
198601	70.8
198602	87.4
198603	100.4
198604	92.2
198605	75.1
198606	74.8
198607	70.9
198608	80.6
198609	79.3
198610	69.1
198611	41.5
198612	35
198701	35.8
198702	34.1
198703	47.5
198704	88.3
198705	99.7
198706	105.2
198707	83
198708	102.1
198709	106.8
198710	87.6
198711	47.3
198712	51.2
198801	62.2
198802	59.2
198803	84.3
198804	101.9
198805	75.4
198806	83.7
198807	94.5
198808	123.5
198809	166
198810	118.6
198811	86.6
198812	72.6
198901	71.3
198902	57.9
198903	76.3
198904	81.1
198905	97.7
198906	99.9
198907	91.8
198908	101.5
198909	121.1
198910	130.2
198911	53.4
198912	44.5
199001	56
199002	76.5
199003	95.3
199004	127.3
199005	164.1
199006	84.5
199007	115.8
199008	125.1
199009	139
199010	116.9
199011	88.1
199012	69.4
199101	100.3
199102	125.9
199103	193
199104	209.8
199105	125.6
199106	106.7
199107	145.8
199108	141.5
199109	115.1
199110	135.1
199111	122
199112	88.3
199201	73.6
199202	67.4
199203	68.3
199204	94.2
199205	83.1
199206	115.6
199207	101.2
199208	103.7
199209	126.8
199210	103.3
199211	63.4
199212	52.9
199301	72.9
199302	91.2
199303	129.4
199304	174.1
199305	108.3
199306	113.7
199307	137.8
199308	168.1
199309	166.9
199310	117.4
199311	61.1
199312	52.2
199401	68.5
199402	92
199403	111.2
199404	102.6
199405	91.2
