197001	17.8	12.9
197002	21.3	13.4
197003	28.4	13
197004	42.5	12.9
197005	37.1	13.7
197006	22.4	15.1
197007	32.4	19.3
197008	31.9	18.4
197009	34	18.5
197010	36	17.5
197011	22.5	15.6
197012	21.5	14.5
197101	26.5	14.7
197102	26.7	13.3
197103	26.5	11.8
197104	33.4	11.1
197105	26.7	14.2
197106	22.7	16
197107	24.5	16.4
197108	31.7	17.3
197109	46.7	18.4
197110	38.8	16.9
197111	20.6	14.5
197112	14	11.8
197201	13.6	11.1
197202	12.3	8.68
197203	17.8	8.41
197204	42.7	10.9
197205	36.4	15.6
197206	35.8	16
197207	25.4	17.5
197208	48.6	18.6
197209	36.7	16.7
197210	22.5	16
197211	14.9	13.7
197212	16.5	13.3
197301	19.9	14.2
197302	19.5	12.1
197303	33.4	12.9
197304	50.9	13.6
197305	50.9	18.5
197306	37.7	20.3
197307	44.6	27.6
197308	47.1	27
197309	59.9	26.4
197310	33.4	21.2
197311	20.1	19
197312	18	20
197401	26.8	24.5
197402	38.8	29.3
197403	43.5	24.4
197404	68.6	25.6
197405	38.5	24.6
197406	27.9	25.1
197407	62.5	30.1
197408	69.2	30.3
197409	63.8	32.9
197410	44.1	29.8
197411	31.5	28.2
197412	28.3	24.9
197501	29.6	24.7
197502	28.7	23.6
197503	32.3	26.6
197504	35.2	24.1
197505	39.6	31
197506	41.4	35.2
197507	54.4	34.5
197508	51.3	30.3
197509	51.6	35.8
197510	54.4	34.7
197511	41.6	31
197512	28.3	27.3
197601	33.1	31.7
197602	44.5	33.3
197603	57.5	23.9
197604	113.1	24.5
197605	80.9	29.6
197606	69.1	32.2
197607	56.9	34.2
197608	60.8	32.8
197609	65.3	38.5
197610	61.9	36.4
197611	31.7	32.3
197612	26	29.2
197701	33.2	35.7
197702	42.4	40.9
197703	49.6	43.3
197704	65.5	38.2
197705	51.5	44
197706	53.5	41.3
197707	48.6	43.2
197708	70.5	40
197709	87.2	39.6
197710	52.5	34.7
197711	24.9	30.5
197712	19.3	27
197801	26.5	27.4
197802	31	28.1
197803	44.2	25.8
197804	75	23.5
197805	57.5	26.7
197806	71.7	33.6
197807	114.5	42.3
197808	101.8	41.5
197809	91.9	56
197810	52.9	44
197811	28.2	33.7
197812	20.6	27.1
197901	22.3	25.3
197902	21.3	20
197903	32.7	20.1
197904	53.9	25.6
197905	56.5	33.7
197906	51.9	34.9
197907	97.4	40.8
197908	70.5	38.3
197909	73.1	35.6
197910	66.3	43.3
197911	55.6	38.1
197912	74	35.8
198001	121.3	43.2
198002	149	45.4
198003	168.8	50.5
198004	151.6	44.1
198005	64.8	41.8
198006	66.5	42.9
198007	67.5	56.1
198008	90.8	54.4
198009	119	60.1
198010	72.7	51
198011	51.1	51.7
198012	37.6	44.1
198101	46.6	65.7
198102	59.9	73.9
198103	69.6	73.9
198104	92.4	55.5
198105	65.4	54
198106	79.6	55.9
198107	87.2	59.5
198108	104.3	50.8
198109	94.6	46.9
198110	57	37.2
198111	39.1	34.3
198112	33.9	31.9
198201	41.5	32.4
198202	40.3	29.6
198203	44.7	27.1
198204	72.4	29.4
198205	66	40.9
198206	66.8	50.8
198207	57.4	44.9
198208	117.5	53.5
198209	142.8	66.1
198210	80.1	67.1
198211	41.7	54.2
198212	28.2	54.2
198301	36.9	64.8
198302	45.3	66.3
198303	70	71.9
198304	76.6	63.8
198305	101.3	73.7
198306	78.6	69.7
198307	88	57.7
198308	134.6	59.5
198309	107.6	60.4
198310	87.1	64.7
198311	53.7	55.1
198312	45.9	48.9
198401	60	62
198402	87.5	83.7
198403	115.9	82.5
198404	115.4	67.1
198405	94.6	57
198406	65.1	48.9
198407	86.4	59.6
198408	81.8	59.4
198409	100	63.4
198410	68.7	55
198411	36.9	43
198412	27.6	37
198501	36.9	45.1
198502	41.6	39.9
198503	48.3	36.1
198504	118	36.8
198505	78.8	49.3
198506	85.4	51.6
198507	127.4	68.8
198508	129.2	68.7
198509	86	72.4
198510	82.6	70.9
198511	43.1	59.7
198512	44.8	59.3
198601	70.8	71.3
198602	87.4	67.5
198603	100.4	68.3
198604	92.2	56.3
198605	75.1	60.6
198606	74.8	55.1
198607	70.9	60.6
198608	80.6	62.4
198609	79.3	60.5
198610	69.1	53.6
198611	41.5	44.6
198612	35	40.6
198701	35.8	42.4
198702	34.1	35.3
198703	47.5	35.7
198704	88.3	43.1
198705	99.7	58.4
198706	105.2	61.7
198707	83	58.8
198708	102.1	57.7
198709	106.8	65
198710	87.6	55.6
198711	47.3	53.4
198712	51.2	58.9
198801	62.2	58.1
198802	59.2	50.6
198803	84.3	52.6
198804	101.9	50.7
198805	75.4	55.4
198806	83.7	58.1
198807	94.5	63.9
198808	123.5	67.8
198809	166	70.9
198810	118.6	85
198811	86.6	81.5
198812	72.6	73.4
198901	71.3	80.8
198902	57.9	66.3
198903	76.3	63.8
198904	81.1	63.8
198905	97.7	85.7
198906	99.9	97.6
198907	91.8	82.5
198908	101.5	76.7
198909	121.1	91.9
198910	130.2	93.4
198911	53.4	63.6
198912	44.5	61.1
199001	56	66.9
199002	76.5	71.6
199003	95.3	56.2
199004	127.3	63.1
199005	164.1	78.8
199006	84.5	73.5
199007	115.8	68.9
199008	125.1	80.4
199009	139	86.5
199010	116.9	107
199011	88.1	80.5
199012	69.4	66.9
199101	100.3	78.4
199102	125.9	69.5
199103	193	70.7
199104	209.8	69.5
199105	125.6	75.2
199106	106.7	75.2
199107	145.8	83.5
199108	141.5	94.9
199109	115.1	87.8
199110	135.1	107.7
199111	122	102
199112	88.3	86.8
199201	73.6	86.9
199202	67.4	83.1
199203	68.3	90.3
199204	94.2	95.1
199205	83.1	94.7
199206	115.6	91.9
199207	101.2	83
199208	103.7	85.5
199209	126.8	91.4
199210	103.3	76.3
199211	63.4	59.3
199212	52.9	53.5
199301	72.9	61
199302	91.2	58.4
199303	129.4	57
199304	174.1	58.5
199305	108.3	69.3
199306	113.7	82.2
199307	137.8	113.4
199308	168.1	125.6
199309	166.9	122.7
199310	117.4	94.3
199311	61.1	83
199312	52.2	95.9
199401	68.5	128.9
199402	92	155.7
199403	111.2	190.3
199404	102.6	141.5
199405	91.2	104.3
199406	103	91.1
199407	95.1	81.1
199408	122.8	98.6
199409	136.2	110.9
199410	127	107.7
199411	120	88.2
199412	98.7	75.4
199501	119	80.9
199502	120.7	73.4
199503	122.9	66.9
199504	127.8	59.9
199505	124.1	68.9
199506	123.9	70.7
199507	114	79.7
199508	137.5	83.8
199509	164.5	92.6
199510	99.8	75.6
199511	65.9	66.8
199512	62.2	63.3
199601	73.1	80.6
199602	75.3	74
199603	77.7	66.9
199604	100.4	60.9
199605	104.3	67.9
199606	95	72.8
199607	104.5	94.8
199608	123.6	92.4
199609	115.3	82
199610	96.1	72
199611	68.6	62.8
199612	62.5	65.8
199701	67.7	70.2
