21345,2346,12224,6746,100,304,447,617,22075,79,31
37536,5492,25631,6019,319,226,1214,1368,33178,205,81
15706,1911,10075,3683,94,206,356,385,14712,48,23
11209,1453,7225,2530,98,123,327,291,11436,59,18
11473,1531,7376,2542,85,124,310,288,11723,43,18
40257,5618,27833,6797,281,302,1283,1471,47468,208,77
27023,3572,17620,5778,182,237,697,746,24718,108,48
84029,11329,53214,19324,668,630,3720,3168,68878,409,154
138630,19917,92661,24279,1339,871,9816,8375,119364,906,272
108488,12307,70551,22359,900,872,7573,6645,157742,724,202
157143,21587,102033,33012,1262,1098,7526,6257,118466,810,310
96055,13258,65485,16977,958,606,5948,5697,88632,647,157
96911,12829,66388,17076,911,520,5162,5233,75702,623,218
144786,19619,97739,26711,1197,921,8876,8551,144022,828,215
174988,24889,121719,27549,1751,907,10766,10739,119286,1308,316
110118,16825,72742,20173,1064,701,5915,4953,78522,575,195
111286,14366,70528,26104,819,917,3696,3687,107024,506,241
342670,44495,225121,71713,2807,2493,13834,11337,320286,1843,674
203180,25999,132451,44184,1563,1788,6634,6889,203748,1014,361
500598,67205,337456,94675,4697,3454,21266,21047,406505,3417,1271
85786,10777,55733,19208,581,808,2218,2455,77946,366,147
66955,8733,39877,18329,480,813,1190,1522,68638,267,127
341924,43519,226796,70413,2867,2270,14564,14106,284436,1869,663
83549,9776,54281,19410,528,797,2413,2505,74843,343,116
115002,14698,76263,23971,824,1117,3359,3235,103428,493,240
81889,10293,52199,18592,600,752,2372,2481,82911,388,177
90099,10882,60809,18304,647,770,3339,2968,89874,407,172
237171,29916,154855,52062,1742,1735,7988,7962,190608,1216,516
155727,18630,101639,35045,1118,1135,5671,6275,145879,765,289
56204,7236,36208,12710,376,561,1649,1528,53252,217,96
119639,15259,79367,24945,813,933,3898,3694,95220,494,195
144618,19930,93614,30926,1226,1250,3870,3900,136891,711,253
223926,31097,145640,46667,1911,1430,8522,8197,182366,1176,490
243855,33409,160509,46511,2104,1552,10425,10055,191927,1444,530
326313,44961,215931,64514,2796,2106,13014,11099,263826,1839,708
71502,7887,48615,14650,557,546,4530,4291,58985,500,163
123079,18544,85749,17593,1394,645,8612,7353,114102,966,286
149872,20099,99547,30165,1119,1095,5272,5213,127657,664,321
60908,8421,39106,13302,613,472,3084,2802,44061,358,155
129691,18112,88207,21332,1328,738,8015,7664,101399,986,267
69611,9335,46712,13523,591,420,3540,3464,53012,437,133
80745,11478,57533,11353,905,377,6350,6438,64837,692,179
158777,21580,104229,32263,1411,1023,8093,6910,127534,851,349
74711,9776,48235,16608,568,594,2923,2696,60460,385,154
154310,19009,102955,32067,1111,1230,4903,5121,129734,751,268
68888,8765,45079,15043,518,494,2376,2626,54901,330,120
82977,11661,54987,16085,759,574,3409,3141,75808,552,227
106736,14618,70348,21579,949,716,5658,5370,73754,650,227
131415,17200,88480,25618,1024,814,5516,4673,105526,656,348
63309,7833,40510,14965,506,506,2292,2409,49479,325,108
101700,13398,67077,20959,807,684,4051,4212,90313,501,239
54012,6106,35227,12666,346,475,1703,1712,43559,211,94
69990,9684,47536,12669,604,414,3151,3410,53810,399,155
57473,7687,36890,12823,433,481,2060,1759,45601,247,117
65298,10524,43450,11299,629,388,2700,2211,49772,336,152
105695,14749,67996,22848,933,781,5445,4907,82084,613,189
42494,7506,27740,7232,521,238,2024,1600,36183,231,97
